,name,trail_id
423,Murray Canyon Trail to Seven Falls,423
424,Reservoir Canyon Trail,424
425,San Francisco Bay Trail to Rosie the Riveter World War II Homefront National Historical Park Visitor Center,425
426,Point Reyes National Seashore Trail,426
427,Dripping Springs Campground Trail,427
428,Lost Horse Mine Loop Trail,428
429,Russian Ridge Trail,429
430,Reef Point and Crystal Cove Trail,430
431,Four Lakes Loop,431
432,City View and Walnut Forest Trails,432
433,Laurel Canyon - Bommer Ridge Loop,433
434,Wind Wolves Preserve Trail,434
435,Pyramid Peak Trail,435
436,Western States Pioneer Express Recreation Trail,436
437,Lake Gregory Trail,437
438,Squirrel Gulch Trail to Eagle Crest Trail to Ridgeline Trail Loop,438
439,Boney Mountain Overlook Trail,439
440,Bluff Trail Loop,440
441,Veteran's Park Trail,441
442,Los Gatos Creek Trail,442
443,"Skyline to the Sea, Berry Creek Falls, Hammond Road Loop",443
444,Old Pinnacles Trail Loop,444
445,Bighorn Peak and Ontario Peak,445
446,Box Springs Mountain Park,446
447,Windy Gap to Big Cienega Trail,447
448,Zumwalt Meadow And Roaring River Falls,448
449,Skull Rock Nature Trail,449
450,"Alamo, Briones to Mt. Diablo Regional Trail, Stage Ravine and Little Yosemite Valley Loop",450
451,Buck Gully Trail,451
452,Bill Cull Trail,452
453,Dipsea Steep Ravine Matt Davis Loop Trail from Pantoll,453
454,Angora Lakes Trail,454
455,"Woods, Winnemucca, and Round Top Lakes",455
456,Mojave River via the PCT,456
457,Badwater Basin Salt Flats Trail,457
458,Bear Gulch and Alambique Trail Loop,458
459,Willow Creek Trail,459
460,Sycamore Canyon Trail,460
461,Buckhart Trail to Cooper Canyon Falls,461
462,Glendale Peak Trail,462
463,Ocean Overlook Loop Trail,463
464,Crystal Cave Trail,464
465,Giant Forest Loop Trail,465
466,Wildwood Park Lizard Rock Trail,466
467,Convict Lake Loop Trail,467
468,Rock City to the Summit of Mount Diablo,468
469,Pomo Canyon Trail Red Hill Trail Loop from Shell Beach,469
470,Arrowhead Pinacles Trail,470
471,Stevens Canyon Trail,471
472,Borrego Canyon to Vista Look Out Trail,472
473,Goat Canyon Trestle Bridge via Carrizo Gorge Road [CLOSED],473
474,Monrovia Canyon Park Trail,474
475,Big Trees Trail,475
476,Weaver Lake Trail,476
477,Twin Lakes Trail,477
478,Garnet Peak Trail,478
479,McCloud Waterfall Trail,479
480,Kenneth Hahn Recreation Area,480
481,Bayside Trail,481
482,"Rocky Ridge View, Sycamore, and Devil's Hole Loop Trail",482
483,Confluence Trail,483
484,Gaviota Wind Caves Trail,484
485,Old Mount Baldy Trail,485
486,Nighthawk Trail Black Mountain Loop,486
487,Lawson Peak Trail,487
488,Tahquitz Peak via South Ridge Trail,488
489,North Ridge Trail,489
490,Mount Shasta Trail,490
491,Kitchen Creek Falls Trail,491
492,El Capitan Trail (historical),492
493,Murietta Falls Trail,493
494,Miner's Ridge and James Irvine Trail Loop,494
495,East Ridge and Pool Ridge Loop Trail,495
496,Whitewater Canyon Loop Trail,496
497,Grasslands Loop Trail,497
498,Tafoni and Fir Trail,498
499,Seven Bridge Walk,499
500,Fort Funston Trail,500
501,Bluff Trail,501
502,Ray Miller Backbone Trail,502
503,American Canyon Trail Loop,503
504,Lewis Falls Trail,504
505,Black Walnut and Powder Canyon Motorway Loop,505
506,Heather Lake via Watchtower Trail,506
507,San Joaquin River Trail,507
508,Roller Coaster,508
509,Dearing Mountain Trail,509
510,San Jacinto Peak (The Middle Way) Trail,510
511,Redwood Loop Trail,511
512,"Chabot to Garin Regional Trail, Cull Canyon Road, Heyer Road, Service Road, Lake View Trail, Columbia Drive",512
513,Johnson Ranch Loop Trail,513
514,Avery's Pond via the Pioneer Express Trail,514
515,Canyon Creek Lakes Trail,515
516,Coast to Crest Trail at Lake Hodges,516
517,High Sierra Trail : Crescent Meadow to Whitney Portal,517
518,Hulda Crooks Jedi Trail,518
519,Blue Sky Canyon Trail,519
520,Tall Trees Grove Loop Trail,520
521,Caples Lake to Emigrant Lake Trail,521
522,Cottonwood Lakes Trail,522
523,Effie Yeaw Nature Loop Trail,523
524,Shadow and Ediza Lakes Trail,524
525,Viejas Mountain Trail,525
526,Crescent and Log Meadows Trail,526
527,The Cross Trail,527
528,Santa Teresa County Park Trail Loop,528
529,Redtail Loop Trail to Arastradero Creek Trail Loop,529
530,Copper Creek Trail,530
531,Paradise Lake Trail,531
532,Big Baldy Ridge Trail,532
533,Oak Oasis Open Space Preserve,533
534,Coastside Trail,534
535,"Hacienda, Randol, and Buena Vista Trail Loop",535
536,Eagle Peak Loop,536
537,Redwood Canyon Sugar Bowl Trail,537
538,Sawyer Camp Trail,538
539,Pedro Point Headlands Trail,539
540,Upper Hot Spring Canyon to Falls Trail,540
541,Crabtree Trail to Bear Lake,541
542,Strawberry Peak Trail via Redbox Canyon,542
543,Two Tree's Trail,543
544,Big Rock Trail,544
545,Castle Rock Trail,545
546,Lake Natoma Trail,546
547,Los Santos-Trans Preserve Loop,547
548,Mount Hollywood Trail,548
549,Hamms Gulch to Spring Ridge Trail Loop,549
550,Johnson's Pasture Trail,550
551,Wapama Falls Trail,551
552,Lyons Creek Trail,552
553,Mesquite Flat Sand Dunes Trail,553
554,Sagehen Creek Trail,554
555,Bear Canyon Loop Trail to Pigeon Spring,555
556,Mineral King to Eagle Lake Trail,556
557,Dinkey Lakes Trail,557
558,Miwok Trail and Hardy Canyon Loop Trail,558
559,Sespe River Trail to Willett Hot Springs,559
560,Partington Cove Trail,560
561,Corte Madera Mountain Trail,561
562,Calaveras South Grove Trail,562
563,Mount Tamalpais South Side Ramble Trail,563
564,Phoenix Lake Loop via Gertrude Ord Trail,564
565,Sequoia Bayview Trail,565
566,Arroyo Pescadero and Deer Loop Trail,566
567,Tehachapi Mountain Trail,567
568,San Bruno Mountain,568
569,Darrington Trail,569
570,Mission Point via De Campos Trail,570
571,Gaviota Peak Trail,571
572,Castle Crags Trail,572
573,North Etiwanda Falls and Preserve Loop,573
574,Golden Gate Bridge from Baker Beach Trail,574
575,Mount Dana Summit Trail,575
576,Bodega Head Trail,576
577,Lady Bird Grove Trail,577
578,Seven Falls Trail,578
579,Sostomo and Deer Valley Loop Trail,579
580,Observatory Trail Extended Loop Trail,580
581,Temescal Canyon Will Rogers Loop Trail,581
582,Emigrant Wilderness Loop Trail,582
583,Point Bonita Lighthouse,583
584,Skull Rock Loop,584
585,Mineral King to Little Five Lakes Trail,585
586,Rattlesnake Canyon,586
587,Big Bend Loop,587
588,Big Trees Trail,588
589,Garland Ranch Waterfall Trail,589
590,Monte Bello Preserve Loop Trail,590
591,Three T's Trail via Icehouse Canyon,591
592,East Ridge Trail to West Ridge Trail Loop from Skyline Blvd,592
593,"Villa Montalvo Lookout Point, South Orchard, Creek Trail Loop",593
594,Mount Hoffman Trail,594
595,Arroyo Verde Park Loop,595
596,Porcupine Creek Trail to Indian Ridge Natural Arch to North Dome,596
597,Oak Glen Preserve Trails,597
598,Oak Canyon Bluebird and Wren Trail,598
599,Hummingbird Trail,599
600,Miner's Trail,600
601,Aptos Creek and West Ridge Trail Loop to Top of the Incline and Sand Point Overlook,601
602,Stagecoach Trail,602
603,Mobius Arch Loop Trail,603
